connectTimeoutMillis	15000	60000
maxMessagesPerRead	2	3
maxMessagesPerWrite	1073741823	4294967294
writeSpinCount	8	32
allocator	io.netty.buffer.UnpooledByteBufAllocator	io.netty.buffer.PooledByteBufAllocator
recvByteBufAllocator	io.netty.channel.ServerChannelRecvByteBufAllocator	SKIP
autoRead	1	SKIP
autoClose	false	SKIP
writeBufferHighWaterMark	32768	131072
writeBufferLowWaterMark	16384	65536
writeBufferWaterMark	SKIP	SKIP
messageSizeEstimator	io.netty.channel.DefaultMessageSizeEstimator	SKIP
pinEventExecutorPerGroup	false	SKIP
protocolReceiveBufferSize	5242880	20971520
receiveBufferSize	65536	262144
sendBufferSize	65536	262144
soLinger	1	2
reuseAddress	false	SKIP
systemReceiveBufferSize	524288	2097152
protocolSendBufferSize	5242880	20971520
systemSendBufferSize	524288	2097152
backlog	32	48
